Genotype,Compartment,Trial,Time_ds,Time,dff0
+,gamma1,0,0.0,0.025000000000000005,0.016618216543224706
+,gamma1,0,1.0,0.09999999999999999,0.02658384608501026
+,gamma1,0,2.0,0.2,0.032407161144116146
+,gamma1,0,3.0,0.3,0.04662398609832474
+,gamma1,0,4.0,0.4,0.012991876688717619
+,gamma1,0,5.0,0.5,0.005385333958037568
+,gamma1,0,6.0,0.6,0.00383136113297855
+,gamma1,0,7.0,0.7000000000000001,-0.003573146983622174
+,gamma1,0,8.0,0.8,-0.037449028697043564
+,gamma1,0,9.0,0.9,0.0039275392875851205
+,gamma1,0,10.0,1.0,-0.0308163653935122
+,gamma1,0,11.0,1.0999999999999999,-0.007217633659753179
+,gamma1,0,12.0,1.2,-0.03505183356052788
+,gamma1,0,13.0,1.3,-0.0021939885402067296
+,gamma1,0,14.0,1.4,0.0008734292082847039
+,gamma1,0,15.0,1.5,-0.03747745871758771
+,gamma1,0,16.0,1.6,-0.00047669432053267793
+,gamma1,0,17.0,1.7,-0.05916593502840536
+,gamma1,0,18.0,1.8,0.03835205990810207
+,gamma1,0,19.0,1.9000000000000001,0.0011813202818366324
+,gamma1,0,20.0,2.0,0.052306965736872546
+,gamma1,0,21.0,2.1,
+,gamma1,0,22.0,2.2,-0.034949001571325855
+,gamma1,0,23.0,2.3000000000000003,-0.07664434872248087
+,gamma1,0,24.0,2.4,-0.011998111369539589
+,gamma1,0,25.0,2.5,-0.020044412077571905
+,gamma1,0,26.0,2.6,-0.03632029639203769
+,gamma1,0,27.0,2.6999999999999997,-0.03794927607980877
+,gamma1,0,28.0,2.8,0.01331307543146043
+,gamma1,0,29.0,2.9,-0.019678451174823437
+,gamma1,0,30.0,3.0,0.02765450856081968
+,gamma1,0,31.0,3.1,0.03031301792871947
+,gamma1,0,32.0,3.2,0.032735618615508555
+,gamma1,0,33.0,3.3000000000000003,0.03643454575651125
+,gamma1,0,34.0,3.4,0.06069079732710918
+,gamma1,0,35.0,3.5,0.07030256384722884
+,gamma1,0,36.0,3.6,0.06104466034877502
+,gamma1,0,37.0,3.6999999999999997,-0.01072904364397568
+,gamma1,0,38.0,3.8,0.01924527142030965
+,gamma1,0,39.0,3.9,-0.026692197732456457
+,gamma1,0,40.0,4.0,-0.03476148441454563
+,gamma1,0,41.0,4.1000000000000005,-0.053280315881724105
+,gamma1,0,42.0,4.2,-0.06072414211184325
+,gamma1,0,43.0,4.3,-0.020334761223554043
+,gamma1,0,44.0,4.3625,
+,gamma1,1,0.0,0.025000000000000005,0.021185272270155504
+,gamma1,1,1.0,0.09999999999999999,0.012760900833891068
+,gamma1,1,2.0,0.2,-0.003863449562897259
+,gamma1,1,3.0,0.3,0.0199860811235113
+,gamma1,1,4.0,0.4,-0.02520304529121311
+,gamma1,1,5.0,0.5,0.023517152013272202
+,gamma1,1,6.0,0.6,0.035276090029758025
+,gamma1,1,7.0,0.7000000000000001,0.03885135293672989
+,gamma1,1,8.0,0.8,0.03936277899998573
+,gamma1,1,9.0,0.9,-0.06845158438705679
+,gamma1,1,10.0,1.0,0.004407751483616962
+,gamma1,1,11.0,1.0999999999999999,-0.034625384028763584
+,gamma1,1,12.0,1.2,-0.02274073474001772
+,gamma1,1,13.0,1.3,-0.03309582537481489
+,gamma1,1,14.0,1.4,0.008181663943682315
+,gamma1,1,15.0,1.5,0.010695031291461063
+,gamma1,1,16.0,1.6,0.012393206088748322
+,gamma1,1,17.0,1.7,0.029897106342645936
+,gamma1,1,18.0,1.8,-0.01741452404433217
+,gamma1,1,19.0,1.9000000000000001,-0.053374812690070196
+,gamma1,1,20.0,2.0,-0.0270172777647677
+,gamma1,1,21.0,2.1,
+,gamma1,1,22.0,2.2,-0.05980196237763025
+,gamma1,1,23.0,2.3000000000000003,-0.028000871934242427
+,gamma1,1,24.0,2.4,-0.021073880498617782
+,gamma1,1,25.0,2.5,-0.0015242759916971327
+,gamma1,1,26.0,2.6,-0.037699947090249174
+,gamma1,1,27.0,2.6999999999999997,-0.08415476720178956
+,gamma1,1,28.0,2.8,-0.02000941064716011
+,gamma1,1,29.0,2.9,-0.01704296786079233
+,gamma1,1,30.0,3.0,-0.06710093904550544
+,gamma1,1,31.0,3.1,-0.024712213566075003
+,gamma1,1,32.0,3.2,-0.042735262760022596
+,gamma1,1,33.0,3.3000000000000003,-0.05198898535423446
+,gamma1,1,34.0,3.4,-0.05836765253747578
+,gamma1,1,35.0,3.5,-0.08613482700206261
+,gamma1,1,36.0,3.6,-0.020730212481278976
+,gamma1,1,37.0,3.6999999999999997,-0.05883660277836381
+,gamma1,1,38.0,3.8,-0.07916278545180555
+,gamma1,1,39.0,3.9,0.031070554566642983
+,gamma1,1,40.0,4.0,-0.09103799566891409
+,gamma1,1,41.0,4.1000000000000005,0.006709168768267919
+,gamma1,1,42.0,4.2,-0.03178551061207731
+,gamma1,1,43.0,4.3,0.027402188089430884
+,gamma1,1,44.0,4.3625,-0.07650161082316131
+,gamma1,2,0.0,0.025000000000000005,0.011440507178610523
+,gamma1,2,1.0,0.09999999999999999,0.008843460425812558
+,gamma1,2,2.0,0.2,0.03819803077143025
+,gamma1,2,3.0,0.3,0.0033753665747376558
+,gamma1,2,4.0,0.4,0.015869385226616295
+,gamma1,2,5.0,0.5,0.018846458545534756
+,gamma1,2,6.0,0.6,-0.02083593931487997
+,gamma1,2,7.0,0.7000000000000001,0.02704859932214713
+,gamma1,2,8.0,0.8,-0.0589398569241673
+,gamma1,2,9.0,0.9,0.08367136636824461
+,gamma1,2,10.0,1.0,-0.017061882382373363
