Genotype,Compartment,Trial,Time_ds,Time,dff0
+,betap2,0,0.0,0.025000000000000005,-0.03926967584934715
+,betap2,0,1.0,0.09999999999999999,0.028080592436455554
+,betap2,0,2.0,0.2,-0.017621233558036596
+,betap2,0,3.0,0.3,0.06745364723397078
+,betap2,0,4.0,0.4,-0.015937085115582096
+,betap2,0,5.0,0.5,0.0029144715288932366
+,betap2,0,6.0,0.6,0.004267681981911209
+,betap2,0,7.0,0.7000000000000001,-0.056062062781772726
+,betap2,0,8.0,0.8,-0.018501854533715268
+,betap2,0,9.0,0.9,-0.0346325744127662
+,betap2,0,10.0,1.0,0.015153536149589076
+,betap2,0,11.0,1.0999999999999999,-0.05073028406307282
+,betap2,0,12.0,1.2,0.011590311774689832
+,betap2,0,13.0,1.3,0.00783780089825692
+,betap2,0,14.0,1.4,0.015345329757103298
+,betap2,0,15.0,1.5,0.05311300102505386
+,betap2,0,16.0,1.6,0.02725345638836265
+,betap2,0,17.0,1.7,0.00978080803320632
+,betap2,0,18.0,1.8,0.02807077293803171
+,betap2,0,19.0,1.9000000000000001,-0.04765281147191106
+,betap2,0,20.0,2.0,0.5737154382219511
+,betap2,0,21.0,2.1,1.44356233487459
+,betap2,0,22.0,2.2,0.8940928704917976
+,betap2,0,23.0,2.3000000000000003,0.09394957893873235
+,betap2,0,24.0,2.4,0.06231721385625775
+,betap2,0,25.0,2.5,0.008485469943240101
+,betap2,0,26.0,2.6,0.0058565603971037165
+,betap2,0,27.0,2.6999999999999997,0.018929655607339096
+,betap2,0,28.0,2.8,-0.0003259629510063533
+,betap2,0,29.0,2.9,0.049121479378472256
+,betap2,0,30.0,3.0,0.049710231432911825
+,betap2,0,31.0,3.1,0.01258040971152056
+,betap2,0,32.0,3.2,-0.016714914746056974
+,betap2,0,33.0,3.3000000000000003,-0.0034682024466663832
+,betap2,0,34.0,3.4,0.04327762426323893
+,betap2,0,35.0,3.5,0.10589802819117937
+,betap2,0,36.0,3.6,0.07614515689214603
+,betap2,0,37.0,3.6999999999999997,0.06405338474780924
+,betap2,0,38.0,3.8,0.05263163667678252
+,betap2,0,39.0,3.9,-0.018830494342669663
+,betap2,0,40.0,4.0,0.07570327946306885
+,betap2,0,41.0,4.1000000000000005,0.13301029011616694
+,betap2,0,42.0,4.2,0.07066796602657255
+,betap2,0,43.0,4.275,
+,betap2,1,0.0,0.025000000000000005,-0.07095231114957105
+,betap2,1,1.0,0.09999999999999999,-0.05779069595563687
+,betap2,1,2.0,0.2,-0.021799866288671543
+,betap2,1,3.0,0.3,-0.052349589180969026
+,betap2,1,4.0,0.4,-0.028223600337131872
+,betap2,1,5.0,0.5,-0.033114432073981126
+,betap2,1,6.0,0.6,-0.013396666724487161
+,betap2,1,7.0,0.7000000000000001,0.020351276898131765
+,betap2,1,8.0,0.8,0.009102495660698918
+,betap2,1,9.0,0.9,-0.0025519098991211298
+,betap2,1,10.0,1.0,0.0024910074305303674
+,betap2,1,11.0,1.0999999999999999,0.0054848160893380404
+,betap2,1,12.0,1.2,0.03402806321520937
+,betap2,1,13.0,1.3,0.02597637335963654
+,betap2,1,14.0,1.4,0.02435632299175401
+,betap2,1,15.0,1.5,0.038836358402004535
+,betap2,1,16.0,1.6,0.01745995661219655
+,betap2,1,17.0,1.7,-0.0004320287246959431
+,betap2,1,18.0,1.8,0.019671220899623632
+,betap2,1,19.0,1.9000000000000001,0.028717396187833533
+,betap2,1,20.0,2.0,0.06743277901793351
+,betap2,1,21.0,2.1,0.14111627237082672
+,betap2,1,22.0,2.2,0.07437516634729321
+,betap2,1,23.0,2.3000000000000003,0.0024661617643794522
+,betap2,1,24.0,2.4,-0.0005921138690998306
+,betap2,1,25.0,2.5,-0.15034080236761327
+,betap2,1,26.0,2.6,-0.10446817366337172
+,betap2,1,27.0,2.6999999999999997,-0.12748843625112347
+,betap2,1,28.0,2.8,-0.13406670281405245
+,betap2,1,29.0,2.9,-0.1271341031713583
+,betap2,1,30.0,3.0,-0.12845412329799483
+,betap2,1,31.0,3.1,-0.13057343979818928
+,betap2,1,32.0,3.2,-0.12610649018385336
+,betap2,1,33.0,3.3000000000000003,-0.0718501431763865
+,betap2,1,34.0,3.4,-0.10653177563947039
+,betap2,1,35.0,3.5,-0.09323435629305243
+,betap2,1,36.0,3.6,-0.11958280879655887
+,betap2,1,37.0,3.6999999999999997,-0.16557241917892743
+,betap2,1,38.0,3.8,-0.16948589393480423
+,betap2,1,39.0,3.9,-0.11205447784047455
+,betap2,1,40.0,4.0,-0.09019179742566094
+,betap2,1,41.0,4.1000000000000005,-0.07637224264058773
+,betap2,1,42.0,4.2,-0.058409014238255064
+,betap2,1,43.0,4.275,
+,betap2,2,0.0,0.025000000000000005,-0.011630477982871276
+,betap2,2,1.0,0.09999999999999999,-0.023528343796753393
+,betap2,2,2.0,0.2,0.01394825118470524
+,betap2,2,3.0,0.3,0.006194004085389393
+,betap2,2,4.0,0.4,0.03521691374291049
+,betap2,2,5.0,0.5,0.004192372017087516
+,betap2,2,6.0,0.6,-0.0037553776266013193
+,betap2,2,7.0,0.7000000000000001,0.004247991981935743
+,betap2,2,8.0,0.8,0.004611925085263313
+,betap2,2,9.0,0.9,-0.022755844284973126
+,betap2,2,10.0,1.0,-0.00811557087095922
+,betap2,2,11.0,1.0999999999999999,0.01044240806706472
+,betap2,2,12.0,1.2,-0.00788114301911762
+,betap2,2,13.0,1.3,0.003995298808304441
+,betap2,2,14.0,1.4,0.012392952167654191
+,betap2,2,15.0,1.5,-0.018679106861471156
+,betap2,2,16.0,1.6,0.003155918005459801
+,betap2,2,17.0,1.7,0.03821393718212507
+,betap2,2,18.0,1.8,-0.011138824960262639
+,betap2,2,19.0,1.9000000000000001,-0.035339689665316164
+,betap2,2,20.0,2.0,0.2589537843412083
+,betap2,2,21.0,2.1,0.4717434098581648
+,betap2,2,22.0,2.2,0.18890600061140755
+,betap2,2,23.0,2.3000000000000003,-0.028135187551894814
+,betap2,2,24.0,2.4,-0.013352911560959945
+,betap2,2,25.0,2.5,0.0015219270381420236
+,betap2,2,26.0,2.6,0.0038830975458823414
+,betap2,2,27.0,2.6999999999999997,-0.00032177179664028
+,betap2,2,28.0,2.8,-0.026794403065937278
+,betap2,2,29.0,2.9,-0.015289722336895554
+,betap2,2,30.0,3.0,-0.02393347687404266
+,betap2,2,31.0,3.1,-0.03336964424371817
+,betap2,2,32.0,3.2,-0.023409825204990554
+,betap2,2,33.0,3.3000000000000003,-0.024748549692249933
+,betap2,2,34.0,3.4,-0.017033305234951078
