Genotype,Compartment,Trial,Time_ds,Time,dff0,Opto
+,betap2,0,0.0,0.025000000000000005,0.04908451300432026,0.0
+,betap2,0,1.0,0.09999999999999999,-0.04167292972639577,0.0
+,betap2,0,2.0,0.2,0.07823881357848664,0.0
+,betap2,0,3.0,0.3,-0.01204593413800703,0.0
+,betap2,0,4.0,0.4,-0.0009175475759026109,0.0
+,betap2,0,5.0,0.5,-0.01684689208548895,0.0
+,betap2,0,6.0,0.6,-0.043124915118568065,0.0
+,betap2,0,7.0,0.7000000000000001,0.021823379835600638,0.0
+,betap2,0,8.0,0.8,-0.009434652286711365,0.0
+,betap2,0,9.0,0.9,-0.03032824938505622,0.0
+,betap2,0,10.0,1.0,-0.004237871948532046,0.0
+,betap2,0,11.0,1.0999999999999999,0.02098780784076304,0.0
+,betap2,0,12.0,1.2,-0.03244916984281003,0.0
+,betap2,0,13.0,1.3,-0.04854133152396186,0.0
+,betap2,0,14.0,1.4,-0.01069230750636987,0.0
+,betap2,0,15.0,1.5,-0.01429959117551216,0.0
+,betap2,0,16.0,1.6,0.05860478157864561,0.0
+,betap2,0,17.0,1.7,0.020899475944165784,0.0
+,betap2,0,18.0,1.8,0.02639706220048661,0.0
+,betap2,0,19.0,1.9000000000000001,-0.031314224338964726,0.0
+,betap2,0,20.0,2.0,0.3780578018267335,0.0
+,betap2,0,21.0,2.1,0.3033824939132312,0.0
+,betap2,0,22.0,2.2,0.1917558050394481,0.0
+,betap2,0,23.0,2.3000000000000003,0.14139850699399129,0.0
+,betap2,0,24.0,2.4,0.12112084582326958,0.0
+,betap2,0,25.0,2.5,0.07101947154308878,0.0
+,betap2,0,26.0,2.6,0.06911007016745674,0.0
+,betap2,0,27.0,2.6999999999999997,0.06475029423324918,0.0
+,betap2,0,28.0,2.8,0.14085514646249112,0.0
+,betap2,0,29.0,2.9,0.0988464063197414,0.0
+,betap2,0,30.0,3.0,-0.02115748863942881,0.0
+,betap2,0,31.0,3.1,0.03963300006842744,0.0
+,betap2,0,32.0,3.2,0.0489675329250431,0.0
+,betap2,0,33.0,3.3000000000000003,-0.03701282534375797,0.0
+,betap2,0,34.0,3.4,0.09277346906126085,0.0
+,betap2,0,35.0,3.5,0.0614008442082283,0.0
+,betap2,0,36.0,3.6,0.06209413022908792,0.0
+,betap2,0,37.0,3.6999999999999997,0.016265632395651597,0.0
+,betap2,0,38.0,3.8,0.031340306121946604,0.0
+,betap2,0,39.0,3.9,-0.12171117743762239,0.6666666666666666
+,betap2,0,40.0,4.0,,1.0
+,betap2,0,41.0,4.0875,,1.0
+,betap2,1,0.0,0.025000000000000005,0.033413206788080796,0.0
+,betap2,1,1.0,0.09999999999999999,0.04027241896500455,0.0
+,betap2,1,2.0,0.2,-0.018844569302796144,0.0
+,betap2,1,3.0,0.3,0.05610987878934589,0.0
+,betap2,1,4.0,0.4,0.04737522700833115,0.0
+,betap2,1,5.0,0.5,0.015577266590394082,0.0
+,betap2,1,6.0,0.6,-0.0521833978593363,0.0
+,betap2,1,7.0,0.7000000000000001,0.012579546030375885,0.0
+,betap2,1,8.0,0.8,-0.049500363387956804,0.0
+,betap2,1,9.0,0.9,0.01070286359023187,0.0
+,betap2,1,10.0,1.0,0.005179700170364199,0.0
+,betap2,1,11.0,1.0999999999999999,-0.021023012336626956,0.0
+,betap2,1,12.0,1.2,0.03578702364945505,0.0
+,betap2,1,13.0,1.3,0.01868311388702974,0.0
+,betap2,1,14.0,1.4,0.03383552247891586,0.0
+,betap2,1,15.0,1.5,-0.08961761977797089,0.0
+,betap2,1,16.0,1.6,-0.003987209989910157,0.0
+,betap2,1,17.0,1.7,-0.008160902023348368,0.0
+,betap2,1,18.0,1.8,0.004562259219196352,0.0
+,betap2,1,19.0,1.9000000000000001,-0.05371581471277842,0.0
+,betap2,1,20.0,2.0,0.7496919379128817,0.0
+,betap2,1,21.0,2.1,-0.05860140323741821,0.0
+,betap2,1,22.0,2.2,0.028180867004632848,0.0
+,betap2,1,23.0,2.3000000000000003,-0.07325195463107241,0.0
+,betap2,1,24.0,2.4,0.04547517925038933,0.0
+,betap2,1,25.0,2.5,-0.09448829426997381,0.0
+,betap2,1,26.0,2.6,0.006654697998154236,0.0
+,betap2,1,27.0,2.6999999999999997,-0.059370718754271946,0.0
+,betap2,1,28.0,2.8,-0.03783087855120959,0.0
+,betap2,1,29.0,2.9,-0.04509923235680591,0.0
+,betap2,1,30.0,3.0,-0.07492580622735456,0.0
+,betap2,1,31.0,3.1,-0.07395664267316626,0.0
+,betap2,1,32.0,3.2,-0.052686000759200026,0.0
+,betap2,1,33.0,3.3000000000000003,0.016127842961906502,0.0
+,betap2,1,34.0,3.4,-0.10429451929595028,0.0
+,betap2,1,35.0,3.5,-0.0820947331487047,0.0
+,betap2,1,36.0,3.6,-0.11820185472986537,0.0
+,betap2,1,37.0,3.6999999999999997,0.03083307914189611,0.0
+,betap2,1,38.0,3.8,-0.08206366224737786,0.0
+,betap2,1,39.0,3.9,-0.03664670435983919,0.6666666666666666
+,betap2,1,40.0,4.0,,1.0
+,betap2,1,41.0,4.0875,,1.0
+,betap2,2,0.0,0.025000000000000005,-0.12353367770277542,0.0
+,betap2,2,1.0,0.09999999999999999,-0.08411289959936974,0.0
+,betap2,2,2.0,0.2,-0.06164536949103305,0.0
+,betap2,2,3.0,0.3,-0.059363327165893064,0.0
+,betap2,2,4.0,0.4,0.001967148477481673,0.0
+,betap2,2,5.0,0.5,0.04467610646724873,0.0
+,betap2,2,6.0,0.6,0.10743906686913074,0.0
+,betap2,2,7.0,0.7000000000000001,0.20473536604416154,0.0
+,betap2,2,8.0,0.8,0.188533126937996,0.0
+,betap2,2,9.0,0.9,0.14494873255110474,0.0
+,betap2,2,10.0,1.0,0.19678847386471365,0.0
+,betap2,2,11.0,1.0999999999999999,0.19260891203920819,0.0
+,betap2,2,12.0,1.2,0.0013601722714136288,0.0
+,betap2,2,13.0,1.3,-0.011812936655631509,0.0
+,betap2,2,14.0,1.4,-0.05805840674354501,0.0
+,betap2,2,15.0,1.5,-0.0982364673917308,0.0
+,betap2,2,16.0,1.6,-0.10720544267442005,0.0
+,betap2,2,17.0,1.7,-0.1918825444558504,0.0
+,betap2,2,18.0,1.8,-0.14754426575444554,0.0
+,betap2,2,19.0,1.9000000000000001,-0.2040024634025989,0.0
+,betap2,2,20.0,2.0,0.6488939951682918,0.0
+,betap2,2,21.0,2.1,-0.237701144541822,0.0
+,betap2,2,22.0,2.2,-0.2021117403627664,0.0
+,betap2,2,23.0,2.3000000000000003,-0.1472428688700371,0.0
+,betap2,2,24.0,2.4,-0.10204222388791784,0.0
+,betap2,2,25.0,2.5,-0.15050647693754823,0.0
+,betap2,2,26.0,2.6,-0.16535752740927517,0.0
+,betap2,2,27.0,2.6999999999999997,-0.0968065966565056,0.0
+,betap2,2,28.0,2.8,-0.05225684347159123,0.0
+,betap2,2,29.0,2.9,-0.14495429148669225,0.0
+,betap2,2,30.0,3.0,-0.1461515141498241,0.0
+,betap2,2,31.0,3.1,-0.18580363331368208,0.0
+,betap2,2,32.0,3.2,-0.18173647448930033,0.0
+,betap2,2,33.0,3.3000000000000003,-0.21099366867016686,0.0
+,betap2,2,34.0,3.4,-0.19971049857596965,0.0
+,betap2,2,35.0,3.5,-0.14528888646678154,0.0
+,betap2,2,36.0,3.6,-0.11867446982396364,0.0
+,betap2,2,37.0,3.6999999999999997,-0.04987572966406558,0.0
+,betap2,2,38.0,3.8,-0.010874240895084219,0.0
+,betap2,2,39.0,3.9,0.08117440654143748,0.6666666666666666
+,betap2,2,40.0,4.0,,1.0
+,betap2,2,41.0,4.0875,,1.0
