deltaF,fly,compartment,trapping
0.3289453684657121,1,gamma1,pre
0.013935897182141494,2,gamma1,pre
0.23790894573598642,3,gamma1,pre
0.15999324923927416,4,gamma1,pre
0.26616797967031475,5,gamma1,pre
0.08485787216314379,6,gamma1,pre
0.23056907799999996,7,gamma1,pre
0.07850787084408661,8,gamma1,pre
0.35767937360068874,9,gamma1,pre
0.5191139364264263,10,gamma1,pre
0.0019784980263721987,1,gamma1,trapped
-0.015440460482516169,2,gamma1,trapped
0.01971027524628673,3,gamma1,trapped
-0.005630144817192452,4,gamma1,trapped
0.08776270016556433,5,gamma1,trapped
-0.02177003783312737,6,gamma1,trapped
-0.0124485466781607,7,gamma1,trapped
0.09512509384788354,8,gamma1,trapped
0.017858366066413403,9,gamma1,trapped
0.09475833062651494,10,gamma1,trapped
0.18461218123191808,1,gamma1,post-trapping
0.17501563535462153,2,gamma1,post-trapping
0.029959683691169362,3,gamma1,post-trapping
0.024242227081333882,4,gamma1,post-trapping
0.19064730131719168,5,gamma1,post-trapping
0.13426609022398187,6,gamma1,post-trapping
0.14485795182688413,7,gamma1,post-trapping
0.2929820603569126,8,gamma1,post-trapping
0.07256326536324134,9,gamma1,post-trapping
0.12984467502753178,10,gamma1,post-trapping
0.5411741901467922,1,gamma2,pre
0.20850429300726878,2,gamma2,pre
0.21144016143384825,3,gamma2,pre
0.0008483870535604794,4,gamma2,pre
0.5915318009291709,5,gamma2,pre
0.050117426182570035,6,gamma2,pre
0.23243506700000005,7,gamma2,pre
0.1241028106550812,8,gamma2,pre
0.45204148345681255,9,gamma2,pre
0.3105938528394732,10,gamma2,pre
0.001620471385244107,1,gamma2,trapped
0.051888476049767276,2,gamma2,trapped
-0.011606898709920469,3,gamma2,trapped
0.10785908827632296,4,gamma2,trapped
0.030523515000646553,5,gamma2,trapped
0.04854533434324416,6,gamma2,trapped
0.031009805801991905,7,gamma2,trapped
0.029389837292795925,8,gamma2,trapped
0.03353259417010967,9,gamma2,trapped
0.013802500077136329,10,gamma2,trapped
0.17209232264257188,1,gamma2,post-trapping
0.37974004293489,2,gamma2,post-trapping
0.14895631295516656,3,gamma2,post-trapping
0.0639584111931234,4,gamma2,post-trapping
0.25326621709365055,5,gamma2,post-trapping
0.13717375611139382,6,gamma2,post-trapping
0.14202516221620512,7,gamma2,post-trapping
0.510648512565079,8,gamma2,post-trapping
0.19208775452518442,9,gamma2,post-trapping
0.08273491318672348,10,gamma2,post-trapping
0.3835920478690553,1,gamma3,pre
0.408058595908545,2,gamma3,pre
0.12602993735866647,3,gamma3,pre
0.16089153805275644,4,gamma3,pre
0.6041904491513226,5,gamma3,pre
0.0010878204595482282,6,gamma3,pre
0.2712800120000002,7,gamma3,pre
0.03940931000067212,8,gamma3,pre
0.05125232708356868,9,gamma3,pre
0.5591115849757483,10,gamma3,pre
0.011055945175938216,1,gamma3,trapped
0.006646857535549748,2,gamma3,trapped
-0.05457847473106375,3,gamma3,trapped
0.156317681809381,4,gamma3,trapped
0.025794946413779482,5,gamma3,trapped
0.07330372890179372,6,gamma3,trapped
0.09794676301471486,7,gamma3,trapped
0.036467943904131536,8,gamma3,trapped
0.04731405997171432,9,gamma3,trapped
0.08092459060143255,10,gamma3,trapped
0.11550323001343507,1,gamma3,post-trapping
0.05163161556088104,2,gamma3,post-trapping
-0.2220415941336614,3,gamma3,post-trapping
0.10148261688029875,4,gamma3,post-trapping
0.2599669787209021,5,gamma3,post-trapping
0.1041154940757335,6,gamma3,post-trapping
0.27017191910667254,7,gamma3,post-trapping
0.4854404431270957,8,gamma3,post-trapping
0.1682209213008362,9,gamma3,post-trapping
0.2237139700057612,10,gamma3,post-trapping
-0.060401367248404655,1,gamma4,pre
-0.014210284219075456,2,gamma4,pre
-0.06318444344744435,3,gamma4,pre
0.23579029493341885,4,gamma4,pre
0.28983604466514457,5,gamma4,pre
0.05065294125467533,6,gamma4,pre
0.25680257700000003,7,gamma4,pre
0.029083435901842883,8,gamma4,pre
-0.14215159582077522,9,gamma4,pre
0.22440498414105217,10,gamma4,pre
-0.01972074399261541,1,gamma4,trapped
-0.044416427999898395,2,gamma4,trapped
-0.22144233908295285,3,gamma4,trapped
0.16356323444082996,4,gamma4,trapped
0.022609436684851547,5,gamma4,trapped
0.06421613878563558,6,gamma4,trapped
0.08571067420088913,7,gamma4,trapped
0.019091703973325862,8,gamma4,trapped
-0.009478975231233195,9,gamma4,trapped
0.13724860859159668,10,gamma4,trapped
0.0570373426528169,1,gamma4,post-trapping
-0.007552497238036752,2,gamma4,post-trapping
-0.23836404522640217,3,gamma4,post-trapping
0.15314869366546727,4,gamma4,post-trapping
0.2509656187006216,5,gamma4,post-trapping
0.1152494192984584,6,gamma4,post-trapping
0.23255795306485277,7,gamma4,post-trapping
0.06134291581063662,8,gamma4,post-trapping
-0.14615671478697387,9,gamma4,post-trapping
0.31183251677303886,10,gamma4,post-trapping
0.06505536150222516,1,gamma5,pre
0.0136308343510961,2,gamma5,pre
-0.04823798053702732,3,gamma5,pre
0.14631992241604555,4,gamma5,pre
0.07715493939246992,5,gamma5,pre
0.022968889187480985,6,gamma5,pre
0.1589754989999999,7,gamma5,pre
0.03427648521893426,8,gamma5,pre
-0.1638123664512585,9,gamma5,pre
0.10831039815953289,10,gamma5,pre
0.001048227790652734,1,gamma5,trapped
-0.04709985218540069,2,gamma5,trapped
-0.10253800961510164,3,gamma5,trapped
0.11774515075621328,4,gamma5,trapped
0.04145262763980408,5,gamma5,trapped
0.05123105987186738,6,gamma5,trapped
0.05457028870522588,7,gamma5,trapped
0.07838961882399959,8,gamma5,trapped
-0.02259932288156365,9,gamma5,trapped
0.14751097815784317,10,gamma5,trapped
0.06322135695128046,1,gamma5,post-trapping
0.06891761172579625,2,gamma5,post-trapping
-0.03541414177957057,3,gamma5,post-trapping
0.2293975702743695,4,gamma5,post-trapping
0.17636252815104286,5,gamma5,post-trapping
0.08953017812232747,6,gamma5,post-trapping
0.12634119624076595,7,gamma5,post-trapping
0.10405088658665237,8,gamma5,post-trapping
-0.07147004226707863,9,gamma5,post-trapping
0.13047808293569993,10,gamma5,post-trapping
-0.3304070808205843,1,betap2,pre
-0.12088275251943717,2,betap2,pre
-0.10865449608342868,3,betap2,pre
0.2301266370609998,4,betap2,pre
0.03156476846094478,5,betap2,pre
0.09635810306680398,6,betap2,pre
-0.10115363900000018,7,betap2,pre
-0.050004928434565235,8,betap2,pre
-0.04641486170585361,9,betap2,pre
0.17311823303253923,10,betap2,pre
-0.13210160655783104,1,betap2,trapped
-0.004146801537213783,2,betap2,trapped
-0.04080230958217802,3,betap2,trapped
0.20026196351488101,4,betap2,trapped
0.05070226984094984,5,betap2,trapped
-0.008740539702233265,6,betap2,trapped
-0.03165331662523553,7,betap2,trapped
0.022331211136023356,8,betap2,trapped
0.051512550744024645,9,betap2,trapped
0.2592810975472708,10,betap2,trapped
0.07620365439179684,1,betap2,post-trapping
0.057073817101030426,2,betap2,post-trapping
0.08054996958927264,3,betap2,post-trapping
0.361794675804036,4,betap2,post-trapping
0.2407257002523406,5,betap2,post-trapping
0.1442005298832673,6,betap2,post-trapping
0.20708935832666714,7,betap2,post-trapping
0.05987820409703806,8,betap2,post-trapping
-0.067828033667617,9,betap2,post-trapping
0.27596563357562276,10,betap2,post-trapping
