,Odour,OdourCS,Experiment,Fly ID,file,Time_s,calcium_zscore,TrainingOdour,OdourOnset,TimeFromOdourOnset_s
0,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,0.0,,OCT,9.0,-9.0
1,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,0.2663293161994806,,OCT,9.0,-8.733670683800518
2,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,0.5326586323989613,,OCT,9.0,-8.467341367601039
3,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,0.798987948598442,,OCT,9.0,-8.201012051401557
4,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,1.0653172647979223,-0.2982814587586324,OCT,9.0,-7.934682735202077
5,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,1.3316465809974032,-0.7432564048913763,OCT,9.0,-7.668353419002597
6,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,1.597975897196884,-0.3792952658071113,OCT,9.0,-7.402024102803116
7,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,1.864305213396365,-0.9429782769859668,OCT,9.0,-7.1356947866036355
8,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,2.130634529595845,-1.1159679967250926,OCT,9.0,-6.869365470404155
9,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,2.3969638457953257,-0.5969507580970015,OCT,9.0,-6.603036154204674
10,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,2.6632931619948064,-0.8862926517573861,OCT,9.0,-6.336706838005194
11,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,2.929622478194287,-0.9937020552863493,OCT,9.0,-6.070377521805713
12,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,3.195951794393768,-0.4983879661389113,OCT,9.0,-5.804048205606232
13,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,3.4622811105932487,-0.2664528888677756,OCT,9.0,-5.537718889406751
14,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,3.72861042679273,-0.1631302352492705,OCT,9.0,-5.271389573207271
15,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,3.99493974299221,0.0659200773791898,OCT,9.0,-5.00506025700779
16,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,4.26126905919169,0.3429536418974914,OCT,9.0,-4.73873094080831
